pop_generation 70 1
values 26 -121.881439 -500 
values 27 -128.987885 -500 
values 28 -132.288086 -500 
values 29 389.024933 35.4153061 
values 30 450.911743 352.538025 
values 31 117.698105 434.21817 
values 32 385.755676 -500 
values 33 450.911743 343.562286 
values 34 461.443481 -243.65509 
values 35 -336.573608 357.953735 
values 36 413.791779 -460.710052 
values 37 412.255524 281.227509 
values 38 -500 30.4964581 
values 39 -500 29.1462326 
values 40 -41.985199 -337.582977 
values 41 -4.6880312 370.555756 
values 42 -139.482269 -19.1790161 
values 43 135.289673 -328.620026 
values 44 -312.649719 238.295807 
values 45 -184.062485 -196.771774 
values 46 382.32373 -372.24054 
values 47 -117.090897 -242.861969 
